POI ID,POI NAME,Address 1,Address 2,CITY,STATE,PIN,Country,TEL,Lat,Lon
8,VAN HEUSEN STORE,  NO. 8 & 9  WEST GATE MALL  GROUND FLOOR, DISTRICT CENTER  SHIVAJI PALACE RAJA GARDEN NEW DELHI - 110027,NEW DELHI,DELHI,,,9.11146E+11,28.6584,77.124
13,VAN HEUSEN STORE,  NO. 4  1ST FLOOR  SELECT CITYWALK MALL, PLOT NO A - 43  DISCTICT CENTER SAKET NEW DELHI - 110017,NEW DELHI,DELHI,,,9.11143E+11,28.5274,77.2066
34,VAN HEUSEN STORE,  NO. 246 & 247  UPPER GROUND FLOOR  THE PROMENADE, DLF PLACE  VASANT KUNJ NEW DELHI - 110070,NEW DELHI,DELHI,,,9.11146E+11,28.5492,77.155
35,VAN HEUSEN STORE,  E - 12  PART 2  SOUTH EXTENSION, NEW DELHI - 110049 ,NEW DELHI,DELHI,,,9.11142E+11,28.5627,77.2126
51,VAN HEUSEN STORE,  NO. G - 126 & 127  V3S MALL  VIKAS MARG, LAXMI NAGAR  NEW DELHI - 110092,NEW DELHI,DELHI,,,9.11143E+11,28.63761,77.28635
52,VAN HEUSEN STORE,  NO. 2 G  JAWHAR NAGAR  KAMALA NAGAR, NEW DELHI - 110007 ,NEW DELHI,DELHI,,,9.11124E+11,28.6862,77.2055
63,VAN HEUSEN STORE,  UNIT NO 24 & 25  GROUND FLOOR  CITY CENTRE, PLOT NO 1 B 3  TWIN DISTRICT CENTRE SEC-10 ROHINI NEW DELHI - 110085,NEW DELHI,DELHI,,,9.11128E+11,28.721,77.1147
75,VAN HEUSEN STORE,  NO.028  1ST FLOOR  PACIFIC MALL, NEAR SUBHASH NAGAR METRO STATION  NAJAFGARH ROAD NEW DELHI - 110018,NEW DELHI,DELHI,,,9.11147E+11,28.6529,77.319
83,VAN HEUSEN STORE,  F - 126  1ST FLOOR  AMBIENCE MALL, NELSON MENDELA ROAD  VASANT KUNJ NEW DELHI - 110070,NEW DELHI,DELHI,,,9.11141E+11,28.5418,77.1547
113,VAN HEUSEN STORE,  PID NO. E-149/150  GROUND FLOOR  KAMLA NAGAR, DELHI - 110007 ,NEW DELHI,DELHI,,,9.11142E+11,28.6837,77.2013
12,VAN HEUSEN STORE,  NO. 123  1ST FLOOR  THE GREAT INDIA PLACE, SECTOR - 38A  NOIDA - UP - 201301,NOIDA,UTTAR PRADESH,,,9.11204E+11,28.5686, 77.3261
54,VAN HEUSEN STORE,  F - 1  GROUND FLOOR  ATTA MARKET, SECTOR - 18  NOIDA - 210301,NOIDA,UTTAR PRADESH,,,9.11204E+11,28.57282,77.32564
73,VAN HEUSEN STORE,  AG - 44  ANSAL PLAZA MALL  KNOWLEDGE PART - 1, GREATER NOIDA - 201303 ,NOIDA,UTTAR PRADESH,,,9.11204E+11,28.46492,77.50794
10,VAN HEUSEN STORE,  NO 318/3  M.G ROAD  -, PUNE - 411011 ,PUNE,MAHARASHTRA,,,9.12026E+11,18.5165,73.8786
14,VAN HEUSEN STORE,  NO. 44 CTS NO 1206  A/43  JM ROAD, PUNE - 411004 ,PUNE,MAHARASHTRA,,,9.12065E+11,18.5212,73.8458
41,VAN HEUSEN STORE,  NO B  LOWER GROUND FLOOR  SGS MAGNUM MALL, OPP WEST END  MOLEDINA ROAD CAMP PUNE - 411001,PUNE,MAHARASHTRA,,,9.1204E+11,18.5208,73.8775
88,VAN HEUSEN STORE,  TOWN CENTER UNIT NO - WB - GF - 5 &6  AMANORA PARK TOWNSHIP ,VILLAGE  SADESATRANALI HADAPSAR TALUKA HAVELI PUNE MAHARASTRA - 411028 ,PUNE,MAHARASHTRA,,,9.12067E+11,18.5221,73.9431
92,VAN HEUSEN STORE,  UG 40/41  SURVEY NO 207  BEHIND BAKER GUAGE, NEXT TO TYCO ELECTRONICS  VIMAN NAGAR PHOENIX MARKET CITY PUNE -411014          ,PUNE,MAHARASHTRA,,,9.12031E+11,18.56252,73.91655
100,VAN HEUSEN STORE,  SHOP NO 1  S.NO 167/168  NEW D.P ROAD, AUNDH  PUNE-411007,PUNE,MAHARASHTRA,,,9.12026E+11,18.5593,73.8094
112,VAN HEUSEN STORE,  SHOP NO 9 10 &11 OFFICE NO.3, SURVEY NO.2/1 (PART) CTS NO. 438  KOTHRUD PUNE - 411029  ,PUNE,MAHARASHTRA,,,9.12025E+11,18.5105,73.8123
15,VAN HEUSEN STORE,  NO. S 129  1ST FLOOR  SOUTH CITY MALL, MUNICIPAL NO 375  PRINCE ANWAR SHAH ROAD KOLKATA - 700068,KOLKATA,WEST BENGAL,,,9.1334E+11,22.5067,88.3565
56,VAN HEUSEN STORE,  NO. CCNTM - 0104  FIRST FLOOR  CITY CENTRE - 11, NEW TOWN  RAJARHAT KOLKATA - 700157,KOLKATA,WEST BENGAL,,,9.13365E+11,22.6237,88.4505
